Player,Stat,Threshold,Percentage
Deni Avdija,3-PT Made,0.5,63.33333333333333
Royce O'Neale,3-PT Made,1.5,63.33333333333333
Donovan Mitchell,3-PT Made,3.5,50.0
Damian Lillard,3-PT Made,3.5,48.275862068965516
Brook Lopez,3-PT Made,1.5,48.38709677419355
Trae Young,3-PT Made,3.5,42.857142857142854
Keegan Murray,3-PT Made,2.5,48.0
Harrison Barnes,3-PT Made,1.5,48.275862068965516
Jalen Green,3-PT Made,2.5,31.03448275862069
Chet Holmgren,3-PT Made,1.5,44.827586206896555
Jusuf Nurkic,3-PT Made,0.5,46.42857142857143
Isaiah Hartenstein,Blocked Shots,1.5,26.666666666666668
Bilal Coulibaly,Blocked Shots,0.5,55.172413793103445
Shai Gilgeous-Alexander,Blocked Shots,0.5,53.57142857142857
Julius Randle,Steals,0.5,43.333333333333336
Cole Anthony,Steals,0.5,50.0
Immanuel Quickley,Steals,0.5,48.275862068965516
Cam Thomas,Steals,0.5,50.0
De'Aaron Fox,Steals,1.5,43.47826086956522
Clint Capela,Steals,0.5,48.275862068965516
Kevin Huerter,Steals,0.5,42.857142857142854
Malik Monk,Steals,0.5,46.42857142857143
Onyeka Okongwu,Steals,0.5,36.666666666666664
Jalen Green,Steals,0.5,44.827586206896555
De'Anthony Melton,Steals,1.5,44.827586206896555
Malaki Branham,Steals,0.5,36.666666666666664
Paolo Banchero,Rebs+Asts,12.0,30.0
Jalen Brunson,Rebs+Asts,10.0,36.666666666666664
Franz Wagner,Rebs+Asts,10.5,40.0
Julius Randle,Rebs+Asts,13.5,56.666666666666664
Isaiah Hartenstein,Rebs+Asts,11.5,23.333333333333332
Wendell Carter Jr.,Rebs+Asts,8.5,60.0
Kyle Kuzma,Rebs+Asts,10.0,36.666666666666664
Mikal Bridges,Rebs+Asts,9.0,41.935483870967744
Tyus Jones,Rebs+Asts,9.0,30.0
Daniel Gafford,Rebs+Asts,9.5,48.148148148148145
Spencer Dinwiddie,Rebs+Asts,10.5,58.620689655172406
Deni Avdija,Rebs+Asts,9.0,40.0
Donovan Mitchell,Rebs+Asts,11.5,40.909090909090914
Giannis Antetokounmpo,Rebs+Asts,17.0,40.0
Damian Lillard,Rebs+Asts,11.0,48.275862068965516
Khris Middleton,Rebs+Asts,10.0,30.76923076923077
Trae Young,Rebs+Asts,15.0,35.714285714285715
De'Aaron Fox,Rebs+Asts,10.5,52.17391304347826
Dejounte Murray,Rebs+Asts,9.5,46.666666666666664
Domantas Sabonis,Rebs+Asts,20.5,37.93103448275862
Saddiq Bey,Rebs+Asts,7.5,53.333333333333336
Clint Capela,Rebs+Asts,11.5,51.724137931034484
Jalen Johnson,Rebs+Asts,10.0,50.0
Malik Monk,Rebs+Asts,8.0,39.285714285714285
Onyeka Okongwu,Rebs+Asts,8.0,53.333333333333336
Scottie Barnes,Rebs+Asts,15.5,53.333333333333336
Pascal Siakam,Rebs+Asts,12.5,36.666666666666664
Jakob Poeltl,Rebs+Asts,10.5,46.666666666666664
Alperen Sengun,Rebs+Asts,15.5,31.03448275862069
Tyrese Maxey,Rebs+Asts,10.5,55.172413793103445
Fred VanVleet,Rebs+Asts,11.5,57.14285714285714
Tobias Harris,Rebs+Asts,10.0,23.333333333333332
De'Anthony Melton,Rebs+Asts,8.0,41.37931034482759
Paul Reed,Rebs+Asts,10.0,6.666666666666667
Nikola Jokic,Rebs+Asts,23.5,40.625
Shai Gilgeous-Alexander,Rebs+Asts,12.5,46.42857142857143
Jamal Murray,Rebs+Asts,11.5,42.10526315789473
Chet Holmgren,Rebs+Asts,9.5,55.172413793103445
Michael Porter Jr.,Rebs+Asts,9.5,48.484848484848484
Jalen Williams,Rebs+Asts,7.5,50.0
Kevin Durant,Rebs+Asts,13.0,30.76923076923077
Devin Booker,Rebs+Asts,12.0,52.38095238095239
Miles Bridges,Rebs+Asts,9.5,50.0
Jusuf Nurkic,Rebs+Asts,14.0,35.714285714285715
Terry Rozier,Rebs+Asts,10.5,52.63157894736842
Nick Richards,Rebs+Asts,10.5,26.08695652173913
Devin Vassell,Rebs+Asts,8.0,20.0
Jeremy Sochan,Rebs+Asts,11.5,33.33333333333333
Zach Collins,Rebs+Asts,12.5,20.0
Paolo Banchero,Blks+Stls,1.5,43.333333333333336
Corey Kispert,Blks+Stls,0.5,48.275862068965516
Donovan Mitchell,Blks+Stls,1.5,63.63636363636363
Dejounte Murray,Blks+Stls,1.5,63.33333333333333
Keegan Murray,Blks+Stls,1.5,48.0
Bogdan Bogdanovic,Blks+Stls,1.5,53.57142857142857
Fred VanVleet,Blks+Stls,1.5,50.0
Tobias Harris,Blks+Stls,1.5,30.0
Kelly Oubre Jr.,Blks+Stls,1.5,47.368421052631575
Jamal Murray,Blks+Stls,1.5,57.89473684210527
Miles Bridges,Blks+Stls,1.5,61.111111111111114
Terry Rozier,Blks+Stls,1.5,42.10526315789473
Grayson Allen,Blks+Stls,1.5,40.0
Jalen Brunson,Turnovers,2.5,36.666666666666664
Spencer Dinwiddie,Turnovers,1.5,58.620689655172406
Deni Avdija,Turnovers,1.5,50.0
Royce O'Neale,Turnovers,0.5,63.33333333333333
Damian Lillard,Turnovers,2.5,58.620689655172406
Jalen Johnson,Turnovers,1.5,62.5
Kevin Huerter,Turnovers,0.5,42.857142857142854
Malik Monk,Turnovers,1.5,71.42857142857143
OG Anunoby,Turnovers,1.5,61.53846153846154
Alperen Sengun,Turnovers,2.5,44.827586206896555
Jalen Green,Turnovers,2.5,41.37931034482759
Shai Gilgeous-Alexander,Turnovers,2.5,32.142857142857146
Jamal Murray,Turnovers,2.5,26.31578947368421
Jalen Williams,Turnovers,1.5,46.15384615384615
Terry Rozier,Turnovers,2.5,47.368421052631575
Devin Vassell,Turnovers,1.5,40.0
