Player,Stat,Threshold,Percentage
Grayson Allen,Pts+Rebs+Asts,18.5,60.0
Nick Richards,Pts+Rebs+Asts,20.0,39.130434782608695
Bradley Beal,Pts+Rebs+Asts,21.5,50.0
Devin Vassell,Pts+Rebs+Asts,30.5,16.0
Jeremy Sochan,Pts+Rebs+Asts,25.5,33.33333333333333
Zach Collins,Pts+Rebs+Asts,27.5,20.0
Malaki Branham,Pts+Rebs+Asts,18.5,30.0
Paolo Banchero,Points,23.5,36.666666666666664
Jalen Brunson,Points,26.5,33.33333333333333
Franz Wagner,Points,23.5,36.666666666666664
Julius Randle,Points,24.5,43.333333333333336
Jalen Suggs,Points,13.0,34.61538461538461
RJ Barrett,Points,16.5,52.0
Cole Anthony,Points,13.5,60.0
Isaiah Hartenstein,Points,7.5,30.0
Wendell Carter Jr.,Points,9.0,20.0
Donte DiVincenzo,Points,9.0,40.0
Moritz Wagner,Points,10.5,60.0
Immanuel Quickley,Points,13.0,62.06896551724138
Josh Hart,Points,7.5,40.0
Kyle Kuzma,Points,21.5,56.666666666666664
Mikal Bridges,Points,23.0,25.806451612903224
Jordan Poole,Points,19.5,34.48275862068966
Cam Thomas,Points,22.5,45.45454545454545
Tyus Jones,Points,13.0,40.0
Cameron Johnson,Points,15.5,43.47826086956522
Daniel Gafford,Points,11.5,48.148148148148145
Spencer Dinwiddie,Points,14.5,41.37931034482759
Deni Avdija,Points,9.5,53.333333333333336
Corey Kispert,Points,11.5,48.275862068965516
Dorian Finney-Smith,Points,9.0,57.14285714285714
Bilal Coulibaly,Points,7.5,55.172413793103445
Day'Ron Sharpe,Points,8.5,38.70967741935484
Dennis Smith Jr.,Points,7.5,35.294117647058826
Royce O'Neale,Points,6.5,46.666666666666664
Donovan Mitchell,Points,31.5,27.27272727272727
Giannis Antetokounmpo,Points,31.5,56.666666666666664
Damian Lillard,Points,24.5,58.620689655172406
Khris Middleton,Points,17.5,26.923076923076923
Brook Lopez,Points,12.5,48.38709677419355
Malik Beasley,Points,8.5,58.620689655172406
Trae Young,Points,29.5,50.0
